,CIUDAD,city,country,tamciud,lat,lon,radius_m,amenity_bar,amenity_bar_per100k,amenity_pub,amenity_pub_per100k,amenity_cafe,amenity_cafe_per100k,amenity_community_centre,amenity_community_centre_per100k,amenity_social_centre,amenity_social_centre_per100k,amenity_arts_centre,amenity_arts_centre_per100k,amenity_theatre,amenity_theatre_per100k,amenity_music_venue,amenity_music_venue_per100k,amenity_place_of_worship,amenity_place_of_worship_per100k,amenity_social_facility,amenity_social_facility_per100k,office_political_party,office_political_party_per100k,office_association,office_association_per100k,office_ngo,office_ngo_per100k,club_sport,club_sport_per100k,club_social,club_social_per100k,leisure_park,leisure_park_per100k,leisure_garden,leisure_garden_per100k,leisure_common,leisure_common_per100k,leisure_sports_centre,leisure_sports_centre_per100k,leisure_pitch,leisure_pitch_per100k,third_places,third_places_per100k
10,32301011,AR: Buenos Aires-General San Martin,Argentina,7,-34.57305556,-58.54083333,2000,15,6,0,0,19,7.6,18,7.2,2,0.8,3,1.2,4,1.6,0,0,27,10.8,12,4.8,3,1.2,13,5.2,1,0.4,12,4.8,3,1.2,34,13.6,1,0.4,0,0,30,12,63,25.2,260,104
11,32301012,AR: Buenos Aires-Gran La Plata,Argentina,7,-34.87777778,-58.08361111,2000,1,0.4,0,0,0,0,1,0.4,0,0,0,0,1,0.4,0,0,15,6,1,0.4,0,0,0,0,0,0,4,1.6,0,0,10,4,0,0,0,0,1,0.4,31,12.4,65,26
12,32301013,AR: Buenos Aires-Hurlingham (GBA),Argentina,7,-34.59027778,-58.62888889,2000,4,1.6,0,0,8,3.2,6,2.4,0,0,0,0,1,0.4,0,0,51,20.4,0,0,0,0,0,0,0,0,0,0,0,0,32,12.8,0,0,0,0,7,2.8,42,16.8,151,60.4
13,32301015,AR: Buenos Aires-Jose C. Paz,Argentina,7,-34.51972222,-58.76555556,2000,30,12,1,0.4,2,0.8,5,2,0,0,0,0,1,0.4,0,0,15,6,3,1.2,3,1.2,0,0,0,0,0,0,0,0,22,8.8,0,0,0,0,2,0.8,28,11.2,112,44.8
14,32301016,AR: Buenos Aires-La Matanza,Argentina,7,-34.75,-58.58333333,2000,0,0,0,0,30,12,0,0,1,0.4,0,0,0,0,0,0,18,7.2,0,0,0,0,0,0,0,0,1,0.4,0,0,28,11.2,0,0,0,0,2,0.8,16,6.4,96,38.4
15,32301017,AR: Buenos Aires-Lanus,Argentina,7,-34.66666667,-58.41666667,2000,0,0,0,0,6,2.4,15,6,1,0.4,0,0,2,0.8,0,0,19,7.6,8,3.2,1,0.4,0,0,0,0,2,0.8,0,0,34,13.6,1,0.4,1,0.4,24,9.6,101,40.4,215,86
16,32301018,AR: Buenos Aires-Lomas de Zamora,Argentina,7,-34.75,-58.41666667,2000,37,14.8,9,3.6,27,10.8,6,2.4,0,0,0,0,3,1.2,0,0,11,4.4,0,0,4,1.6,1,0.4,0,0,2,0.8,0,0,24,9.6,1,0.4,0,0,13,5.2,29,11.6,167,66.8
17,32301021,AR: Buenos Aires-Malvinas Argentinas,Argentina,7,-34.5075,-58.69555556,2000,2,0.8,1,0.4,2,0.8,6,2.4,0,0,2,0.8,3,1.2,0,0,10,4,1,0.4,1,0.4,0,0,0,0,2,0.8,0,0,45,18,0,0,0,0,10,4,95,38,180,72
18,32301024,AR: Buenos Aires-Merlo,Argentina,7,-34.66527778,-58.72722222,2000,3,1.2,4,1.6,11,4.4,4,1.6,0,0,0,0,3,1.2,0,0,9,3.6,1,0.4,0,0,2,0.8,0,0,2,0.8,0,0,43,17.2,1,0.4,3,1.2,10,4,29,11.6,125,50
19,32301025,AR: Buenos Aires-Moreno,Argentina,7,-34.55916667,-58.78861111,2000,0,0,0,0,35,14,3,1.2,0,0,0,0,0,0,0,0,35,14,0,0,1,0.4,0,0,0,0,0,0,0,0,16,6.4,0,0,1,0.4,12,4.8,51,20.4,154,61.6
20,32301026,AR: Buenos Aires-Moron,Argentina,7,-34.65111111,-58.62194444,2000,20,8,0,0,13,5.2,11,4.4,2,0.8,0,0,2,0.8,0,0,13,5.2,3,1.2,0,0,3,1.2,0,0,2,0.8,0,0,52,20.8,1,0.4,0,0,11,4.4,77,30.8,210,84
21,32301029,AR: Buenos Aires-Quilmes,Argentina,7,-34.72055556,-58.25444444,2000,6,2.4,16,6.4,16,6.4,5,2,0,0,1,0.4,6,2.4,0,0,17,6.8,3,1.2,0,0,0,0,0,0,4,1.6,1,0.4,37,14.8,6,2.4,0,0,8,3.2,50,20,176,70.4
